"","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"67",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3305,3
"68",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3185,3
"69",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3289,3
"70",0.6,"ME204",0.05,10,"A",NA,250,"XXX",NA,0.3451,3
"71",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.33,NA,3
"72",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.2,NA,3
"73",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.22,NA,3
"74",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.19,NA,3
"75",1.2,"ME204",0.1,10,"B","B",NA,"XXX",6.16,NA,3
"76",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.538,3
"77",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.5349,3
"78",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.5251,3
"79",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.5396,3
"80",1.2,"ME204",0.1,10,"B",NA,500,"XXX",NA,0.5339,3
"81",3,"ME204",0.25,10,"A","A",NA,"XXX",14.72,NA,3
"82",3,"ME204",0.25,10,"A","A",NA,"XXX",14.66,NA,3
"83",3,"ME204",0.25,10,"A","A",NA,"XXX",14.65,NA,3
"84",3,"ME204",0.25,10,"A","A",NA,"XXX",14.82,NA,3
"85",3,"ME204",0.25,10,"A","A",NA,"XXX",14.85,NA,3
"86",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.7575,3
"87",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.7776,3
"88",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.7596,3
"89",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.7646,3
"90",3,"ME204",0.25,10,"A",NA,1000,"XXX",NA,0.76,3
