"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"26","126d",2.9993,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0343,1
"27","127d",3.0016,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0417,1
"28","128d",2.9993,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0343,1
"29","129d",3.0002,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0275,1
"30","130d",3.0005,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0374,1
"31","101d",1.2011,"ME204",0.05,5,"A","A",NA,"ME204",10.14,NA,2
"32","102d",1.2004,"ME204",0.05,5,"A","A",NA,"ME204",10.06,NA,2
"33","103d",1.202,"ME204",0.05,5,"A","A",NA,"ME204",10.17,NA,2
"34","104d",1.2004,"ME204",0.05,5,"A","A",NA,"ME204",10.05,NA,2
"35","105d",1.1995,"ME204",0.05,5,"A","A",NA,"ME204",10.07,NA,2
"36","106d",1.2001,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0753,2
"37","107d",1.2007,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0835,2
"38","108d",1.1978,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.075,2
"39","109d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0808,2
"40","110d",1.2,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0787,2
"41","111d",1.1998,"ME204",0.1,10,"B","B",NA,"ME204",10.22,NA,2
"42","112d",1.2001,"ME204",0.1,10,"B","B",NA,"ME204",9.94,NA,2
"43","113d",1.198,"ME204",0.1,10,"B","B",NA,"ME204",10.03,NA,2
"44","114d",1.2003,"ME204",0.1,10,"B","B",NA,"ME204",10.23,NA,2
"45","115d",1.2,"ME204",0.1,10,"B","B",NA,"ME204",10.13,NA,2
"46","116d",1.1995,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0552,2
"47","117d",1.1971,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0633,2
"48","118d",1.1996,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0608,2
"49","119d",1.2001,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.062,2
"50","120d",1.1999,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0645,2
"51","121d",2.9994,"ME204",0.25,10,"A","A",NA,"ME204",10.02,NA,2
"52","122d",3.0003,"ME204",0.25,10,"A","A",NA,"ME204",9.94,NA,2
"53","123d",2.9991,"ME204",0.25,10,"A","A",NA,"ME204",10.11,NA,2
"54","124d",3.0007,"ME204",0.25,10,"A","A",NA,"ME204",10.24,NA,2
"55","125d",3.0008,"ME204",0.25,10,"A","A",NA,"ME204",10.15,NA,2
"56","126d",3.001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0353,2
"57","127d",3.0008,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0427,2
"58","128d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0353,2
"59","129d",3,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0284,2
"60","130d",3.0012,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0383,2
"61","101d",1.2006,"ME204",0.05,5,"A","A",NA,"ME204",10.02,NA,3
"62","102d",1.2003,"ME204",0.05,5,"A","A",NA,"ME204",10.01,NA,3
"63","103d",1.2013,"ME204",0.05,5,"A","A",NA,"ME204",10.13,NA,3
"64","104d",1.1994,"ME204",0.05,5,"A","A",NA,"ME204",10.09,NA,3
"65","105d",1.2,"ME204",0.05,5,"A","A",NA,"ME204",10.08,NA,3
"66","106d",1.2013,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0746,3
"67","107d",1.1998,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0828,3
"68","108d",1.2001,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0742,3
"69","109d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.08,3
"70","110d",1.2012,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0781,3
"71","111d",1.2001,"ME204",0.1,10,"B","B",NA,"ME204",10.15,NA,3
"72","112d",1.2001,"ME204",0.1,10,"B","B",NA,"ME204",10.18,NA,3
"73","113d",1.1993,"ME204",0.1,10,"B","B",NA,"ME204",10.01,NA,3
"74","114d",1.1996,"ME204",0.1,10,"B","B",NA,"ME204",10.14,NA,3
"75","115d",1.1984,"ME204",0.1,10,"B","B",NA,"ME204",10.1,NA,3
"76","116d",1.2004,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0541,3
"77","117d",1.2008,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0623,3
"78","118d",1.1987,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0599,3
"79","119d",1.2004,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0612,3
"80","120d",1.2003,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0637,3
"81","121d",3.0002,"ME204",0.25,10,"A","A",NA,"ME204",9.91,NA,3
"82","122d",3.0001,"ME204",0.25,10,"A","A",NA,"ME204",9.91,NA,3
"83","123d",3.0016,"ME204",0.25,10,"A","A",NA,"ME204",10.04,NA,3
"84","124d",3.0003,"ME204",0.25,10,"A","A",NA,"ME204",10.13,NA,3
"85","125d",3.0014,"ME204",0.25,10,"A","A",NA,"ME204",10.19,NA,3
"86","126d",3.0005,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0343,3
"87","127d",3.0005,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0417,3
"88","128d",2.9995,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0343,3
"89","129d",3.0027,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0276,3
"90","130d",2.9999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0377,3
