"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"25","125d",2.9979,"ME204",0.25,10,"A","A",NA,"ME204",3.47,NA,1
"26","126d",2.9994,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0258,1
"27","127d",3.001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0401,1
"28","128d",2.9992,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0278,1
"29","129d",3.0016,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0333,1
"30","130d",2.9999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.034,1
"31","101d",1.2001,"ME204",0.05,5,"A","A",NA,"ME204",17.56,NA,2
"32","102d",1.2005,"ME204",0.05,5,"A","A",NA,"ME204",17.52,NA,2
"33","103d",1.1991,"ME204",0.05,5,"A","A",NA,"ME204",17.52,NA,2
"34","104d",1.1992,"ME204",0.05,5,"A","A",NA,"ME204",17.47,NA,2
"35","105d",1.1996,"ME204",0.05,5,"A","A",NA,"ME204",17.55,NA,2
"36","106d",1.2018,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2536,2
"37","107d",1.2004,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.3081,2
"38","108d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2139,2
"39","109d",1.1989,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1736,2
"40","110d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.211,2
"41","111d",1.2004,"ME204",0.1,10,"B","B",NA,"ME204",8.66,NA,2
"42","112d",1.1996,"ME204",0.1,10,"B","B",NA,"ME204",8.83,NA,2
"43","113d",1.1991,"ME204",0.1,10,"B","B",NA,"ME204",8.79,NA,2
"44","114d",1.1991,"ME204",0.1,10,"B","B",NA,"ME204",8.69,NA,2
"45","115d",1.1998,"ME204",0.1,10,"B","B",NA,"ME204",8.72,NA,2
"46","116d",1.2003,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1249,2
"47","117d",1.201,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1721,2
"48","118d",1.1987,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1085,2
"49","119d",1.1992,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1938,2
"50","120d",1.198,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0948,2
"51","121d",3.0001,"ME204",0.25,10,"A","A",NA,"ME204",3.49,NA,2
"52","122d",3.0007,"ME204",0.25,10,"A","A",NA,"ME204",3.47,NA,2
"53","123d",3.0003,"ME204",0.25,10,"A","A",NA,"ME204",3.51,NA,2
"54","124d",3.0012,"ME204",0.25,10,"A","A",NA,"ME204",3.7,NA,2
"55","125d",3.0006,"ME204",0.25,10,"A","A",NA,"ME204",3.51,NA,2
"56","126d",2.9994,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.2136,2
"57","127d",3.0014,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.2126,2
"58","128d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1054,2
"59","129d",3.0006,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1403,2
"60","130d",2.9991,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1153,2
"61","101d",1.1998,"ME204",0.05,5,"A","A",NA,"ME204",17.6,NA,3
"62","102d",1.1988,"ME204",0.05,5,"A","A",NA,"ME204",17.5,NA,3
"63","103d",1.1999,"ME204",0.05,5,"A","A",NA,"ME204",17.49,NA,3
"64","104d",1.2014,"ME204",0.05,5,"A","A",NA,"ME204",17.45,NA,3
"65","105d",1.1995,"ME204",0.05,5,"A","A",NA,"ME204",17.5,NA,3
"66","106d",1.2001,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1706,3
"67","107d",1.2008,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1037,3
"68","108d",1.1984,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.223,3
"69","109d",1.1986,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.2335,3
"70","110d",1.1991,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.3111,3
"71","111d",1.2003,"ME204",0.1,10,"B","B",NA,"ME204",8.73,NA,3
"72","112d",1.2001,"ME204",0.1,10,"B","B",NA,"ME204",8.78,NA,3
"73","113d",1.2012,"ME204",0.1,10,"B","B",NA,"ME204",8.86,NA,3
"74","114d",1.1988,"ME204",0.1,10,"B","B",NA,"ME204",8.74,NA,3
"75","115d",1.1996,"ME204",0.1,10,"B","B",NA,"ME204",8.7,NA,3
"76","116d",1.1979,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0525,3
"77","117d",1.2016,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1226,3
"78","118d",1.2011,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1992,3
"79","119d",1.1994,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1769,3
"80","120d",1.1997,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1591,3
"81","121d",2.9999,"ME204",0.25,10,"A","A",NA,"ME204",3.53,NA,3
"82","122d",3.0018,"ME204",0.25,10,"A","A",NA,"ME204",3.44,NA,3
"83","123d",3,"ME204",0.25,10,"A","A",NA,"ME204",3.62,NA,3
"84","124d",3.0004,"ME204",0.25,10,"A","A",NA,"ME204",3.58,NA,3
"85","125d",3.0007,"ME204",0.25,10,"A","A",NA,"ME204",3.51,NA,3
"86","126d",3.0007,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0948,3
"87","127d",2.9983,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1501,3
"88","128d",3.0007,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.116,3
"89","129d",2.9991,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.139,3
"90","130d",3,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1051,3
