"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"22","122d",3.0007,"ME204",0.25,10,"A","A",NA,NA,10.2,NA,1
"23","123d",3.0014,"ME204",0.25,10,"A","A",NA,NA,10.15,NA,1
"24","124d",2.9985,"ME204",0.25,10,"A","A",NA,NA,10.09,NA,1
"25","125d",3.0008,"ME204",0.25,10,"A","A",NA,NA,10.13,NA,1
"26","126d",3.0003,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0323,1
"27","127d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0287,1
"28","128d",3.0017,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0351,1
"29","129d",2.999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0349,1
"30","130d",2.9999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0367,1
"31","101d",1.2007,"ME204",0.05,5,"A","A",NA,NA,10.27,NA,2
"32","102d",1.1989,"ME204",0.05,5,"A","A",NA,NA,10.14,NA,2
"33","103d",1.2011,"ME204",0.05,5,"A","A",NA,NA,10.3,NA,2
"34","104d",1.1999,"ME204",0.05,5,"A","A",NA,NA,10.34,NA,2
"35","105d",1.2012,"ME204",0.05,5,"A","A",NA,NA,10.07,NA,2
"36","106d",1.2,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0775,2
"37","107d",1.1993,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0748,2
"38","108d",1.1987,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0789,2
"39","109d",1.1986,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0786,2
"40","110d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0777,2
"41","111d",1.198,"ME204",0.1,10,"B","B",NA,NA,10.11,NA,2
"42","112d",1.1984,"ME204",0.1,10,"B","B",NA,NA,10.14,NA,2
"43","113d",1.202,"ME204",0.1,10,"B","B",NA,NA,10.05,NA,2
"44","114d",1.1998,"ME204",0.1,10,"B","B",NA,NA,10.18,NA,2
"45","115d",1.2014,"ME204",0.1,10,"B","B",NA,NA,10.22,NA,2
"46","116d",1.2016,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0586,2
"47","117d",1.2001,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0592,2
"48","118d",1.2,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0608,2
"49","119d",1.2002,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0629,2
"50","120d",1.2007,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0601,2
"51","121d",3.0008,"ME204",0.25,10,"A","A",NA,NA,10.5,NA,2
"52","122d",2.998,"ME204",0.25,10,"A","A",NA,NA,10.16,NA,2
"53","123d",3,"ME204",0.25,10,"A","A",NA,NA,10.21,NA,2
"54","124d",3.0006,"ME204",0.25,10,"A","A",NA,NA,10.22,NA,2
"55","125d",2.9998,"ME204",0.25,10,"A","A",NA,NA,10.31,NA,2
"56","126d",3.0002,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0323,2
"57","127d",3.0009,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0288,2
"58","128d",2.9999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0351,2
"59","129d",3.0015,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0351,2
"60","130d",3.0005,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0367,2
"61","101d",1.1984,"ME204",0.05,5,"A","A",NA,NA,10.28,NA,3
"62","102d",1.1998,"ME204",0.05,5,"A","A",NA,NA,10.1,NA,3
"63","103d",1.2006,"ME204",0.05,5,"A","A",NA,NA,10.36,NA,3
"64","104d",1.2002,"ME204",0.05,5,"A","A",NA,NA,10.2,NA,3
"65","105d",1.1986,"ME204",0.05,5,"A","A",NA,NA,10.07,NA,3
"66","106d",1.1981,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0773,3
"67","107d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0748,3
"68","108d",1.2007,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0789,3
"69","109d",1.1993,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0786,3
"70","110d",1.2004,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.0778,3
"71","111d",1.2006,"ME204",0.1,10,"B","B",NA,NA,10.15,NA,3
"72","112d",1.201,"ME204",0.1,10,"B","B",NA,NA,10.19,NA,3
"73","113d",1.2006,"ME204",0.1,10,"B","B",NA,NA,10.16,NA,3
"74","114d",1.2002,"ME204",0.1,10,"B","B",NA,NA,10.2,NA,3
"75","115d",1.1984,"ME204",0.1,10,"B","B",NA,NA,10.3,NA,3
"76","116d",1.1995,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0587,3
"77","117d",1.2009,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0593,3
"78","118d",1.2005,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0607,3
"79","119d",1.1991,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0629,3
"80","120d",1.2003,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.06,3
"81","121d",2.9999,"ME204",0.25,10,"A","A",NA,NA,10.39,NA,3
"82","122d",3.0013,"ME204",0.25,10,"A","A",NA,NA,10.24,NA,3
"83","123d",3,"ME204",0.25,10,"A","A",NA,NA,10.29,NA,3
"84","124d",2.9996,"ME204",0.25,10,"A","A",NA,NA,10.18,NA,3
"85","125d",2.9997,"ME204",0.25,10,"A","A",NA,NA,10.32,NA,3
"86","126d",2.9991,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0322,3
"87","127d",3.0013,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0285,3
"88","128d",3.0002,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0351,3
"89","129d",2.9994,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.035,3
"90","130d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0368,3
