"","id","masa.muestra","balanza.muestra","volumen.aforo","volumen.alicuota","clase.pipeta","clase.bureta","Temperatura.calcinado","balanza.calcinado","volumen.EDTA","masas.finales","replica"
"31","101d",1.201,"ME204",0.05,5,"A","A",NA,"ME204",10,NA,2
"32","102d",1.1986,"ME204",0.05,5,"A","A",NA,"ME204",9.83,NA,2
"33","103d",1.1988,"ME204",0.05,5,"A","A",NA,"ME204",9.94,NA,2
"34","104d",1.1992,"ME204",0.05,5,"A","A",NA,"ME204",9.91,NA,2
"35","105d",1.199,"ME204",0.05,5,"A","A",NA,"ME204",9.86,NA,2
"36","106d",1.1991,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1351,2
"37","107d",1.2013,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1708,2
"38","108d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1562,2
"39","109d",1.1993,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1688,2
"40","110d",1.2007,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1976,2
"41","111d",1.2002,"ME204",0.1,10,"B","B",NA,"ME204",9.93,NA,2
"42","112d",1.1988,"ME204",0.1,10,"B","B",NA,"ME204",9.81,NA,2
"43","113d",1.1994,"ME204",0.1,10,"B","B",NA,"ME204",10.04,NA,2
"44","114d",1.2005,"ME204",0.1,10,"B","B",NA,"ME204",9.99,NA,2
"45","115d",1.202,"ME204",0.1,10,"B","B",NA,"ME204",10.01,NA,2
"46","116d",1.2016,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1883,2
"47","117d",1.2008,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.2434,2
"48","118d",1.2,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1638,2
"49","119d",1.1983,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1386,2
"50","120d",1.1993,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.2332,2
"51","121d",2.9998,"ME204",0.25,10,"A","A",NA,"ME204",9.91,NA,2
"52","122d",3.0005,"ME204",0.25,10,"A","A",NA,"ME204",9.84,NA,2
"53","123d",3.0001,"ME204",0.25,10,"A","A",NA,"ME204",9.75,NA,2
"54","124d",3.0001,"ME204",0.25,10,"A","A",NA,"ME204",9.96,NA,2
"55","125d",3.0018,"ME204",0.25,10,"A","A",NA,"ME204",9.93,NA,2
"56","126d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.2251,2
"57","127d",2.9997,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1341,2
"58","128d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1112,2
"59","129d",3.0001,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.0376,2
"60","130d",2.9992,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.2017,2
"61","101d",1.2014,"ME204",0.05,5,"A","A",NA,"ME204",10.01,NA,3
"62","102d",1.1997,"ME204",0.05,5,"A","A",NA,"ME204",9.9,NA,3
"63","103d",1.1995,"ME204",0.05,5,"A","A",NA,"ME204",9.87,NA,3
"64","104d",1.1991,"ME204",0.05,5,"A","A",NA,"ME204",9.91,NA,3
"65","105d",1.2009,"ME204",0.05,5,"A","A",NA,"ME204",9.78,NA,3
"66","106d",1.1987,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1356,3
"67","107d",1.1995,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1276,3
"68","108d",1.2003,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.3291,3
"69","109d",1.1999,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1898,3
"70","110d",1.2003,"ME204",0.05,5,"A",NA,250,"ME204",NA,0.1755,3
"71","111d",1.1987,"ME204",0.1,10,"B","B",NA,"ME204",9.92,NA,3
"72","112d",1.1996,"ME204",0.1,10,"B","B",NA,"ME204",9.83,NA,3
"73","113d",1.1983,"ME204",0.1,10,"B","B",NA,"ME204",9.84,NA,3
"74","114d",1.1992,"ME204",0.1,10,"B","B",NA,"ME204",10,NA,3
"75","115d",1.2011,"ME204",0.1,10,"B","B",NA,"ME204",9.89,NA,3
"76","116d",1.2003,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.0205,3
"77","117d",1.2001,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1545,3
"78","118d",1.1991,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.216,3
"79","119d",1.1994,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.1753,3
"80","120d",1.199,"ME204",0.1,10,"B",NA,500,"ME204",NA,0.2052,3
"81","121d",3.0001,"ME204",0.25,10,"A","A",NA,"ME204",9.89,NA,3
"82","122d",3.0008,"ME204",0.25,10,"A","A",NA,"ME204",9.94,NA,3
"83","123d",3.0003,"ME204",0.25,10,"A","A",NA,"ME204",9.86,NA,3
"84","124d",2.9994,"ME204",0.25,10,"A","A",NA,"ME204",9.98,NA,3
"85","125d",3.0006,"ME204",0.25,10,"A","A",NA,"ME204",9.95,NA,3
"86","126d",3.0004,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.2391,3
"87","127d",3.0008,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1904,3
"88","128d",2.9996,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1024,3
"89","129d",2.9988,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1639,3
"90","130d",2.9999,"ME204",0.25,10,"A",NA,1000,"ME204",NA,0.1212,3
